gene_id,gene_short_name,timepoint,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000174444,RPL4,1,0.35324344756966064,5.4624447181449804,0.9772555813238705,0.36146475325434124,0.024636089902486908,2.790260983209446e-35,2.807393185646352e-30
ENSG00000140988,RPS2,1,0.3552818121507084,12.889726231132729,0.9968705468160608,0.35639714031621783,0.03973090913945695,7.104721207913221e-56,7.148344196129808e-51
ENSG00000161970,RPL26,1,0.3662699708673261,14.334454737354159,0.9972058453714828,0.36729625339378336,0.04953093400275615,3.0170116092394667e-69,3.035536060520197e-64
ENSG00000170315,UBB,1,0.3575661182700892,2.062895370536935,0.8365419542317472,0.4274335751617697,0.04307665579831882,1.9363368296516854e-60,1.9482259377857467e-55
ENSG00000198242,RPL23A,1,0.34444212643761707,11.970927123431979,0.9967308390846349,0.34557185644415445,0.03321464958993422,5.505001552620111e-47,5.538802262153198e-42
ENSG00000173812,EIF1,1,0.3498513550313499,10.365540920661134,0.9982676241303193,0.350458480846894,0.02828576876456431,2.9179765009234764e-40,2.935892876639147e-35
ENSG00000108654,DDX5,1,0.34645436263220786,4.596616926468969,0.9668054430132164,0.3583496194978205,0.010341143409039327,1.0005833579820788e-15,1.0067269398000887e-10
ENSG00000132475,H3F3B,1,0.3616481574638292,15.58294328724667,0.9987985135097376,0.3620831955316115,0.02880880247232401,5.64218388699594e-41,5.676826896062096e-36
ENSG00000265681,RPL17,1,0.34261351810515145,8.399650874408405,0.9922601916790075,0.3452859652924438,0.02639980232506125,1.0928432010286573e-37,1.0995532582829733e-32
ENSG00000160888,IER2,1,0.3403727896036888,1.628022671979726,0.6963871580653274,0.48876948068556825,0.053538434961150114,1.0217046541645122e-74,1.0279779207410823e-69
ENSG00000105193,RPS16,1,0.3409253568364142,8.888054721462181,0.9941602168263992,0.34292798189484053,0.021990573705238013,1.141049565034889e-31,1.1480556093642032e-26
ENSG00000105372,RPS19,1,0.3529344046066463,17.18192403878518,0.9985749811394563,0.35343806050890547,0.03117509261677765,3.3350812039952395e-44,3.35555860258777e-39
ENSG00000105369,CD79A,1,0.366208196024362,5.152892424806501,0.9736790633993685,0.37610770303084606,0.0237491726278843,4.532073561411897e-34,4.559900493078966e-29
ENSG00000104894,CD37,1,0.3410908742294211,9.177812077847289,0.9974573192880494,0.34196037026715087,0.012250089993833485,2.397787957754274e-18,2.412510375814885e-13
ENSG00000142541,RPL13A,1,0.3887861202904834,10.957324776633584,0.9889910307636425,0.3931138991121941,0.04056203566793606,5.220308658702942e-57,5.252361353867378e-52
ENSG00000170889,RPS9,1,0.35636907256543554,11.653697028690193,0.9949705216686692,0.358170483249863,0.030659636324210565,1.6838982039654996e-43,1.6942373389378477e-38
ENSG00000083845,RPS5,1,0.3457359106650855,11.232912642940512,0.9973176115566236,0.34666580300879013,0.043125410013448856,1.661353243823433e-60,1.6715539527405087e-55
ENSG00000100316,RPL3,1,0.3479796330884652,14.139121384209073,0.997541143926905,0.34883737398400827,0.03502571962102963,1.862912407842509e-49,1.874350690026662e-44
ENSG00000142676,RPL11,2,0.36978829443542766,26.285211488747876,0.9996331621423331,0.36992399656182595,0.13146096330699947,4.546438958435637e-118,4.5743540936404325e-113
ENSG00000142937,RPS8,2,0.3585219176798471,35.43809230548259,1,0.3585219176798471,0.07536261264582142,2.3970410004135225e-68,2.4117588321560617e-63
ENSG00000122406,RPL5,2,0.35891003536976723,12.408174816815858,0.9996331621423331,0.3590417454744901,0.07765633992719845,2.236456264589912e-70,2.250188106054494e-65
ENSG00000171863,RPS7,2,0.38055588691469283,18.399715522231638,0.9994497432134997,0.3807654056632236,0.11515755530188156,1.333909030562176e-103,1.3420992320098278e-98
ENSG00000244575,IGKV1-27,2,0.43954885847116554,66.20159835946659,0.7415627292736611,0.5927332120664839,0.16011953368558804,1.5390553807830882e-143,1.5485051808210964e-138
ENSG00000144713,RPL32,2,0.3679062779394097,26.636684229948948,0.9998165810711666,0.36797377129437936,0.08847371666441059,5.924464105665229e-80,5.960840315274014e-75
ENSG00000174748,RPL15,2,0.3680660527611654,13.543211090296706,0.9985326485693323,0.36860692866529643,0.07809551891617036,9.137631797230861e-71,9.193736856465859e-66
ENSG00000162244,RPL29,2,0.3533347342430624,15.617361475103607,0.9988994864269992,0.3537240123197165,0.049433156437168446,2.091937899673859e-45,2.1047823983778567e-40
ENSG00000145425,RPS3A,2,0.3635802650282827,22.323825662531583,0.9998165810711666,0.36364696476503344,0.10694563143912342,2.550182323239249e-96,2.565840442703938e-91
ENSG00000186468,RPS23,2,0.3546913934649649,31.167153027522918,1,0.3546913934649649,0.07500423387577618,4.975653506140457e-68,5.00620401866816e-63
