"","gene_id","gene_short_name","cluster","marker_score","mean_expression","fraction_expressing","specificity","pseudo_R2","marker_test_p_value","marker_test_q_value"
"301","ENSG00000158481","CD1C","20",0.616018320500193,1.28809116134842,0.783950617283951,0.785787148984498,0.601570719422443,3.89879629910693e-121,3.38480238781047e-115
"302","ENSG00000158488","CD1E","20",0.240127355822551,0.159629919618798,0.320987654320988,0.748089070062562,0.220656396510232,1.84396452918204e-45,1.60086730944186e-39
"303","ENSG00000179639","FCER1A","20",0.375279976441964,0.85637248145074,0.709876543209877,0.528655271161724,0.463462225213718,1.15943773225794e-93,1.00658441826345e-87
"304","ENSG00000138678","GPAT3","20",0.236131577334926,0.259106084261405,0.555555555555556,0.425036839202867,0.305088036236547,3.26120435527923e-62,2.83126674030535e-56
"305","ENSG00000198502","HLA-DRB5","20",0.229254834155431,4.84902593613795,0.962962962962963,0.238072327776793,0.42445014665055,6.54425361760814e-86,5.68149848618439e-80
"306","ENSG00000196735","HLA-DQA1","20",0.215311418401073,5.90321650305027,0.950617283950617,0.22649642714918,0.372123022045154,1.61369995626132e-75,1.40095943622757e-69
"307","ENSG00000223865","HLA-DPB1","20",0.222962434629988,13.6338401407648,1,0.222962434629988,0.55478566516413,8.00734772853673e-112,6.95170704809282e-106
"308","ENSG00000135549","PKIB","20",0.216173924165329,0.172588322661722,0.333333333333333,0.648521772495987,0.200888866970919,1.54241733190006e-41,1.33907428536635e-35
"309","ENSG00000106066","CPVL","20",0.305385856641116,1.12110045469577,0.864197530864197,0.35337506268472,0.490174966783229,5.68000155058918e-99,4.9311842261688e-93
"310","ENSG00000126759","CFP","20",0.19969604120381,1.20127616925652,0.87037037037037,0.229438004787356,0.347597955381833,1.19276514041348e-70,1.03551814089221e-64
"311","ENSG00000155962","CLIC2","20",0.23762755355263,0.17137524520079,0.462962962962963,0.513275515673681,0.299252486516209,4.69201028550953e-61,4.07344380152967e-55
"312","ENSG00000168913","ENHO","20",0.406313021710895,0.394242978600556,0.512345679012346,0.793044692977892,0.397429468181328,1.52326688117733e-80,1.3224485151642e-74
"313","ENSG00000149269","PAK1","20",0.193117525044069,0.785080568997038,0.808641975308642,0.23881709203923,0.320923347900082,2.34900863751109e-65,2.03932943279346e-59
"314","ENSG00000150782","IL18","20",0.196119393631764,0.317999172793859,0.62962962962963,0.31148374282692,0.290403832580264,2.67411555983691e-59,2.32157620912137e-53
"315","ENSG00000160593","JAML","20",0.1995795709807,1.09226662713527,0.882716049382716,0.226097136355758,0.387517398906748,1.41627374299578e-78,1.22956071036167e-72
"316","ENSG00000111729","CLEC4A","20",0.20917854466588,0.416334839949495,0.679012345679012,0.308062947598841,0.294076699173965,4.99332242508563e-60,4.33503275649689e-54
"317","ENSG00000161642","ZNF385A","20",0.189995510564964,0.627571709692907,0.802469135802469,0.236763636242494,0.28584277732017,2.14878650585814e-58,1.86550338564483e-52
"318","ENSG00000090382","LYZ","20",0.215501859552384,16.2235510134566,0.925925925925926,0.232742008316575,0.427287998274315,1.78692016153307e-86,1.55134332895752e-80
"319","ENSG00000111275","ALDH2","20",0.204112981493189,0.5238142010568,0.734567901234568,0.277868092452913,0.335116856880594,3.58027758655868e-68,3.1082752712123e-62
"320","ENSG00000165795","NDRG2","20",0.315646932501407,0.227943022295438,0.537037037037037,0.587756357071586,0.331965976928498,1.51110055580212e-67,1.31188612512851e-61
"321","ENSG00000140749","IGSF6","20",0.202707731881182,0.621333978412281,0.740740740740741,0.273655438039596,0.311953096187852,1.41597557296213e-63,1.22930184927624e-57
"322","ENSG00000132514","CLEC10A","20",0.468751113832567,1.07828232666964,0.672839506172839,0.696675967347485,0.463949365074503,9.27749628255201e-94,8.05440683763805e-88
"323","ENSG00000101439","CST3","20",0.291974483299647,24.5670809773436,0.962962962962963,0.303204271118865,0.504811028897902,6.98640454315596e-102,6.06535888661354e-96
"324","ENSG00000105383","CD33","20",0.2341767629534,0.49907539028292,0.753086419753086,0.310956029495499,0.335698985465293,2.74394883296701e-68,2.38220308252164e-62
"325","ENSG00000100079","LGALS2","20",0.303618692663709,1.56644073328833,0.845679012345679,0.359023563587744,0.478552835481546,1.16088757700621e-96,1.00784312417917e-90
"326","ENSG00000119535","CSF3R","21",0.295960918547835,3.82717005134888,0.634920634920635,0.466138446712841,0.317756578569801,7.51725866468303e-55,6.52622838588321e-49
"327","ENSG00000169554","ZEB2","21",0.151477625051511,3.40374798127357,0.571428571428571,0.265085843840145,0.143212060169325,1.25282041663713e-25,1.08765608983019e-19
"328","ENSG00000018280","SLC11A1","21",0.215069452095197,2.31041308417327,0.563492063492063,0.38167254878866,0.248015891370177,3.51395579607317e-43,3.05069694765366e-37
"329","ENSG00000038427","VCAN","21",0.13105416339386,2.32610754194729,0.492063492063492,0.266335880445586,0.156625181929535,7.06232427114531e-28,6.13126981318314e-22
"330","ENSG00000130066","SAT1","21",0.253581978708353,24.7275336041617,0.944444444444444,0.268498565691198,0.360280164929648,5.75687179643421e-62,4.99792036002311e-56
"331","ENSG00000245532","NEAT1","21",0.395381421897046,27.9984785414703,0.968253968253968,0.408344747205146,0.63315719961394,1.10550201306554e-107,9.5975926067506e-102
"332","ENSG00000173020","GRK2","21",0.155902710105194,2.41767332668009,0.547619047619048,0.284691905409485,0.176628281830898,3.14103979373259e-31,2.72694395356565e-25
"333","ENSG00000110719","TCIRG1","21",0.151334526890797,3.20753663269095,0.603174603174603,0.250896715634743,0.141898499643979,2.0806554531858e-25,1.80635432217051e-19
"334","ENSG00000054967","RELT","21",0.148628458916709,1.92996738537896,0.404761904761905,0.367199722029516,0.137774898749141,1.02306826029452e-24,8.88193079266852e-19
"335","ENSG00000172243","CLEC7A","21",0.161165648243309,1.6836752477455,0.444444444444444,0.362622708547444,0.179516395744816,1.03104483303191e-31,8.95118068513978e-26
"336","ENSG00000170345","FOS","21",0.149823630527214,9.29042180072673,0.753968253968254,0.198713446804516,0.158775530505237,3.07974435760605e-28,2.67372933996541e-22
