gene_id,gene_short_name,timepoint,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000099860,GADD45B,1,0.3559903383241838,2.2408830528410855,0.6734104046242775,0.5286380131337665,0.06089573812842104,2.2726323219475155e-32,2.2865862844042733e-27
ENSG00000011422,PLAUR,1,0.3381329894572422,2.1111370804924734,0.7738439306358381,0.43695243455539046,0.05510232240062151,1.9702799407091426e-29,1.982377459545097e-24
ENSG00000142227,EMP3,1,0.3318543075706009,4.031914872668857,0.9501445086705202,0.3492671951921762,0.008054343922571908,1.7439751907333024e-5,1
ENSG00000198888,MT-ND1,1,0.33667303139005006,12.052398469294213,0.9971098265895953,0.33764889524915165,0.004191841778061197,0.0019476250918463265,1
ENSG00000198763,MT-ND2,1,0.33151427621920737,7.75199725456669,0.9942196531791907,0.3334416848018772,0.005229304015008288,5.391479895531087e-4,1
ENSG00000198804,MT-CO1,1,0.3421746175826748,36.44037672891524,0.9985549132947977,0.3426698051623892,0.009149949444332724,4.68358598217404e-6,0.4712343200104589
ENSG00000198712,MT-CO2,1,0.3611314269241017,34.91368540102679,1,0.3611314269241017,0.035709759264347087,1.3258651471104198e-19,1.3340059591136779e-14
ENSG00000228253,MT-ATP8,1,0.3233560302933038,3.7597063748555217,0.8764450867052023,0.36894043357455275,0.025047651270192442,3.405778303136505e-14,3.426689781917763e-9
ENSG00000198899,MT-ATP6,1,0.32894991998305356,9.270683455815512,0.9877167630057804,0.3330407383003263,3.7051354965448734e-4,0.35711164305117615,1
ENSG00000198938,MT-CO3,1,0.34678115309499213,22.74199793255442,0.9992774566473989,0.3470318986865286,0.014483850305857672,8.306512014621082e-9,8.357513998390855e-4
ENSG00000198840,MT-ND3,1,0.3385503546029467,11.90863339690045,0.9927745664739884,0.3410143309828808,0.004820417748656857,8.92487885692467e-4,1
ENSG00000212907,MT-ND4L,1,0.37389860049988755,7.428170900720845,0.930635838150289,0.4017668191706866,0.0417481028581942,1.1545122805456382e-22,1.1616009859481885e-17
ENSG00000198886,MT-ND4,1,0.3297900381628832,9.809900035025262,0.9934971098265896,0.3319486638672221,4.354191166918442e-4,0.31813778610591564,1
