"","gene_id","gene_short_name","partition","marker_score","mean_expression","fraction_expressing","specificity","pseudo_R2","marker_test_p_value","marker_test_q_value","partition_assignment"
"45","ENSG00000167604","NFKBID","10",0.345811997627306,2.62553911430081,0.714285714285714,0.484136796678228,0.25013074161637,3.84377868971909e-12,1.2834761422841e-06,"B4"
"46","ENSG00000104856","RELB","10",0.291605637441546,3.15030955124564,0.761904761904762,0.382732399142029,0.178314999854419,4.58399505649562e-09,0.00153064178931445,"B4"
"47","ENSG00000183878","UTY","10",0.439148349530322,2.20493030820735,0.714285714285714,0.614807689342451,0.387328068053307,5.58978239204956e-18,1.86648423852927e-12,"B4"
"48","ENSG00000211639","IGLV4-60","10",0.298026209902025,2.39604871738052,0.571428571428571,0.521545867328544,0.203809530815985,3.68556395407529e-10,0.000123064665990528,"B4"
"49","ENSG00000198804","MT-CO1","10",0.296926630812636,116.404111106971,1,0.296926630812636,0.420321686710716,2.22833161807891e-19,7.44062210592728e-14,"B4"
"50","ENSG00000198938","MT-CO3","10",0.299446410030884,81.1297331849289,1,0.299446410030884,0.43799463377676,3.97060523091859e-20,1.32582479265603e-14,"B4"
"51","ENSG00000182866","LCK","2",0.406994134616851,1.09182951570663,0.648561773675101,0.627533337820085,0.210723883780721,8.21210351909415e-235,2.74210348606073e-229,"T"
"52","ENSG00000116824","CD2","2",0.409416311586984,0.845296774532737,0.542734690513476,0.754358103034909,0.182479080630093,2.41545648075182e-203,8.0654507348784e-198,"T"
"53","ENSG00000198821","CD247","2",0.413236205004646,0.820410684049138,0.523778125772686,0.788952773457336,0.178195378335597,1.40754379801443e-198,4.69992949594999e-193,"T"
"54","ENSG00000115523","GNLY","2",0.321433980199453,7.49787779736183,0.408637599934064,0.786599129035893,0.116940767727904,1.23747638906961e-130,4.13205741074233e-125,"T"
"55","ENSG00000158050","DUSP2","2",0.275967654681581,4.37610899253169,0.747960108794198,0.368960391653072,0.111417666124648,1.58927181785415e-124,5.30673752699678e-119,"T"
"56","ENSG00000115085","ZAP70","2",0.338934991628225,1.02389162039383,0.602324239676914,0.562711857337884,0.179416698645603,6.16563983418088e-200,2.05876879703134e-194,"T"
"57","ENSG00000137441","FGFBP2","2",0.269540906127992,1.02173569465953,0.336767493612462,0.800376851211681,0.0995149478012586,2.27308403653582e-111,7.59005490639676e-106,"T"
"58","ENSG00000168685","IL7R","2",0.397438581724904,1.46822532511587,0.527651858567543,0.753221229626408,0.172298652009008,5.07344825698952e-192,1.69407510749137e-186,"T"
"59","ENSG00000145649","GZMA","2",0.425944396114198,1.81152488042674,0.555180087365038,0.767218432015077,0.187418939955125,7.678183545955e-209,2.56382226782983e-203,"T"
"60","ENSG00000211751","TRBC1","2",0.308548906388186,0.712096851083847,0.396274622929201,0.778623935359371,0.121199127287239,2.40327471191533e-135,8.02477459055647e-130,"T"
"61","ENSG00000185885","IFITM1","2",0.543593707701999,5.7960796810163,0.914283359432951,0.59455714915247,0.423358959715324,0,0,"T"
"62","ENSG00000133321","RARRES3","2",0.278070612649824,1.15854140431784,0.659358773592681,0.421728842910039,0.150979519089303,2.40912909533532e-168,8.04432296223418e-163,"T"
"63","ENSG00000172543","CTSW","2",0.354971739003994,1.85079586266602,0.595318552707492,0.596271924316137,0.174747462888477,9.61138343905363e-195,3.2093370441344e-189,"T"
"64","ENSG00000198851","CD3E","2",0.648983627631897,3.3218885068233,0.856919146130388,0.75734522978338,0.446573363522123,0,0,"T"
"65","ENSG00000167286","CD3D","2",0.520320294739408,1.60139257817459,0.716805406741943,0.725887793040501,0.285130526245898,4.10708372271849e-318,1.37139632585293e-312,"T"
"66","ENSG00000160654","CD3G","2",0.401933740340815,0.745819673553801,0.510014011373939,0.788083721970767,0.174662529259494,1.19460088589732e-194,3.98889181809973e-189,"T"
"67","ENSG00000180644","PRF1","2",0.308469792775891,0.834361039333926,0.366521058270832,0.84161547014839,0.110845140320547,6.82756202794724e-124,2.27979123675186e-118,"T"
"68","ENSG00000100450","GZMH","2",0.337364286260713,2.03895996771967,0.450506882057199,0.748854900329533,0.14370348463234,2.83238833629666e-160,9.45762789372819e-155,"T"
"69","ENSG00000027075","PRKCH","2",0.307291307331477,0.575761201596266,0.429901920382428,0.714793986168101,0.122042777665113,2.79984205475788e-136,9.34895260504203e-131,"T"
"70","ENSG00000196405","EVL","2",0.266172941165037,1.59933406092023,0.761971482733042,0.349321394824813,0.180677474637281,2.44032782711191e-201,8.14849864750936e-196,"T"
"71","ENSG00000008517","IL32","2",0.640139155119982,5.93082642457272,0.871095359762631,0.734866909742714,0.459143683411269,0,0,"T"
"72","ENSG00000173762","CD7","2",0.356474714235562,1.33200779813294,0.576691667353499,0.618137445736754,0.182281177442762,4.01051863182101e-203,1.33915227635136e-197,"T"
"73","ENSG00000077984","CST7","2",0.463128631088988,2.40277390232857,0.632902002802275,0.731754093111432,0.228420946278085,1.42958987744189e-254,4.77354355976623e-249,"T"
"74","ENSG00000197540","GZMM","2",0.421448800793274,1.0661638251608,0.579164262754471,0.727684403020463,0.2015952240648,1.24178575597292e-224,4.14644681776917e-219,"T"
"75","ENSG00000105374","NKG7","2",0.43395652740511,8.00457694264639,0.613203659441193,0.707687439113736,0.195862360391609,3.03725966404001e-218,1.0141713744196e-212,"T"
"76","ENSG00000114942","EEF1B2","3",0.235652531624168,7.9179713745167,0.998341074983411,0.236044111105099,0.387219020547002,1.42143293748599e-291,4.74630672155948e-286,"B2"
"77","ENSG00000224137","LINC01857","3",0.217408842265041,0.712908312668712,0.54777704047777,0.396892944025943,0.147821217391349,1.04335056294218e-111,3.48385186472024e-106,"B2"
"78","ENSG00000197061","HIST1H4C","3",0.218822457992399,1.61656682487108,0.775381552753815,0.282212618052671,0.174358167926194,1.61148932889036e-131,5.3809240180978e-126,"B2"
"79","ENSG00000227507","LTB","3",0.256088564722173,2.9936048440907,0.936297279362973,0.273512024830839,0.327058900818074,4.02198894828778e-246,1.34298232972277e-240,"B2"
"80","ENSG00000156508","EEF1A1","3",0.237914960617063,63.609993338225,1,0.237914960617063,0.613499224061581,0,0,"B2"
"81","ENSG00000169100","SLC25A6","3",0.21770754601157,3.78396245175464,0.981088254810883,0.221904140574526,0.226941651943206,7.29106323627404e-171,2.43455892522427e-165,"B2"
"82","ENSG00000095397","WHRN","3",0.305326156861356,1.13823394124289,0.695753151957532,0.438842649871306,0.300118458211863,7.97764659559589e-226,2.66381597473542e-220,"B2"
"83","ENSG00000233016","SNHG7","3",0.218890382512463,1.67501316765332,0.834439283344393,0.262320323217719,0.246833997037896,8.84534363438886e-186,2.95354869295878e-180,"B2"
"84","ENSG00000254772","EEF1G","3",0.236868132809332,4.48956975010428,0.988387524883875,0.239651074953785,0.307209632966226,3.65257466011232e-231,1.21963120475811e-225,"B2"
"85","ENSG00000123349","PFDN5","3",0.213670987572654,7.5069164407612,0.996350364963504,0.21445366518281,0.278361158724425,1.8584084580376e-209,6.20541168223334e-204,"B2"
"86","ENSG00000196531","NACA","3",0.221763490973491,11.4445103425621,0.999668214996682,0.221837093194193,0.386035425960738,1.11851409804048e-290,3.73483042476696e-285,"B2"
"87","ENSG00000100906","NFKBIA","3",0.26059287013004,5.49670007045797,0.992037159920372,0.262684585475565,0.450584618657135,0,0,"B2"
"88","ENSG00000280411","IGHV1-69D","3",0.25329113337538,12.6682284665262,0.990046449900465,0.255837626003149,0.747335140652071,0,0,"B2"
"89","ENSG00000156232","WHAMM","3",0.231317777602025,1.14609809758604,0.728599867285999,0.317482596399136,0.253499370073587,8.80458814361862e-191,2.93994002703569e-185,"B2"
